tarih,soru,a,b,c,d,cevap,bilgi_notu
,Türkiye'de kadınlara milletvekili seçme ve seçilme hakkı hangi yılda tanındı?,1928,1930,1934,1938,2,1934 anayasa değişikliğiyle Türk kadınları siyasi haklarını kazandı; bu tarih pek çok Avrupa ülkesinden daha önceye denk gelir.
,Harf Devrimi ile Türkiye hangi alfabeye geçti?,Kiril,Arap,Latin,İbrani,2,1 Kasım 1928'de Latin alfabesine geçildi. Atatürk bizzat yurt gezileriyle 'Baş Öğretmen' unvanıyla yeni harfleri öğretti.
,Atatürk Samsun'a hangi tarihte çıktı?,15 Mayıs 1919,19 Mayıs 1919,23 Nisan 1920,9 Eylül 1919,1,19 Mayıs 1919 bugün Atatürk'ü Anma Gençlik ve Spor Bayramı olarak kutlanmaktadır.
,Lozan Antlaşması hangi yılda imzalandı?,1920,1921,1922,1923,3,"24 Temmuz 1923'te imzalanan Lozan Antlaşması, Türkiye Cumhuriyeti'nin uluslararası alanda tanınmasını sağladı."
,Osmanlı Devleti'nin son padişahı kimdir?,Abdülhamid II,II. Abdülhamid,VI. Mehmed Vahdettin,Abdülmecid II,2,VI. Mehmed Vahdettin 1918–1922 arasında tahtta kaldı; saltanat kaldırılınca ülkeyi terk etti.
,Türkiye NATO'ya hangi yılda katıldı?,1949,1950,1952,1955,2,18 Şubat 1952'de Türkiye ve Yunanistan NATO'ya katıldı. Kore Savaşı'ndaki Türk katkısı bu süreci hızlandırdı.
,Atatürk hangi şehirde doğdu?,Ankara,İstanbul,İzmir,Selanik,3,Mustafa Kemal 1881'de o dönem Osmanlı toprağı olan Selanik'te (bugünkü Yunanistan) doğdu.
,İstiklal Marşı hangi yılda kabul edildi?,1919,1920,1921,1922,2,12 Mart 1921'de TBMM tarafından kabul edilen İstiklal Marşı Mehmet Akif Ersoy tarafından yazıldı.
,Topkapı Sarayı'nı yaptıran padişah kimdir?,II. Murat,II. Mehmed (Fatih),II. Bayezid,Yavuz Selim,1,Fatih Sultan Mehmet İstanbul'un fethinden sonra 1459–1465 yılları arasında Topkapı Sarayı'nı yaptırdı.
,Yavuz Sultan Selim Mısır'ı hangi yılda fethetti?,1512,1514,1516,1517,3,"1517'de Ridaniye Savaşı'yla Mısır'ı fetheden Yavuz Selim, halifeliği de Osmanlı'ya devretti."
